Var #,Var name,Explanation,Max value,Variable Type,Is normalized
Objective,Objective,,,flag,-
v1,p01rcy,,0.995671,numeric,normalized
v2,p02rcy,,0.995671,numeric,normalized
v3,p03rcy,,0.995671,numeric,normalized
v4,p04rcy,,0.9956332,numeric,normalized
v5,totalspend,,24439,numeric,not normalized
v6,p05spend,,0.9565217,numeric,normalized
v7,p05trans,,1,numeric,normalized
v8,p06rcy,,0.9956522,numeric,normalized
v9,p07rcy,,0.995671,numeric,normalized
v10,p08rcy,,0.995671,numeric,normalized
v11,p09rcy,,0.995671,numeric,normalized
v12,p09tenure,,0.3103448,numeric,normalized
v13,p11rcy,,0.995671,numeric,normalized
v14,p12rcy,,0.995671,numeric,normalized
v15,p13rcy,,0.995671,numeric,normalized
v16,p14rcy,,0.995671,numeric,normalized
v17,p14tenure,,0.6666667,numeric,normalized
v18,p15rcy,,0.995671,numeric,normalized
v19,p16spend,,0.3306667,numeric,normalized
v20,p16rcy,,0.9515418,numeric,normalized
v21,p16tenure,,0.2247191,numeric,normalized
v22,p16trans,,0.1428571,numeric,normalized
v23,p17rcy,,0.995671,numeric,normalized
v24,totaltrans,,400,numeric,not normalized
v25,cffempar,Female parent (% of people that are female parent),0.5,numeric,normalized
v26,cfhuswife,Total husband-wife families (5),1.125,numeric,not normalized
v27,cflonepar,Total lone-parent families,0.4736842,numeric,normalized
v28,cftotmar,Total families of now-married couples,1,numeric,normalized
v29,cfwchcom,Total with sons and daughters at home,0.2432432,numeric,normalized
v30,fem40to44,40-44 years,0.1363636,numeric,normalized
v31,fp1child,1 son or daughter,0.25,numeric,normalized
v32,fp2child,2 sons and/or daughters,0.2037037,numeric,normalized
v33,hh2fam,2 or more census family households,0.1666667,numeric,normalized
v34,hh6ppers,"Size of household, 6 or more persons",0.25,numeric,normalized
v35,mtenglish,English,1.014084,numeric,not normalized
v36,mtfrench,French,0.9950739,numeric,normalized
v37,mtmultlin,"Mother tongue, multiple responses",0.173913,numeric,normalized
v38,mtnengnon,English and non-official language(s),0.15625,numeric,normalized
v39,mtsingres,"Mother tongue, single responses",1.013333,numeric,not normalized
v40,mtspanish,Spanish,0.1318681,numeric,normalized
v41,mttagalog,Tagalog (Pilipino),0.1531532,numeric,normalized
v42,nfamrel,Living with relatives,0.122807,numeric,normalized
v43,cwmpaid,Paid-workers                                             2,0.6227758,numeric,normalized
v44,dw46to60,"1946 - 1960, period of construction                      2",0.9444444,numeric,normalized
v45,dw86to91,"1986 - 1991, period of construction (27)                 2",1.032258,numeric,not normalized
